ticker	date	intervals	signal_price	current_price	current_time	nx_1h_signal	nx_5m_signal	nx_1d	nx_1h	nx_30m
美的集团 (000333.SZ)	2025-09-25	5,10,15,30	72.79	72.76	2025-09-25 00:00:00	False	False	True	False	False
泸州老窖 (000568.SZ)	2025-09-25	5,10,15	130.5	130.22	2025-09-25 00:00:00	False	False	True	False	False
古井贡酒 (000596.SZ)	2025-09-25	5,10,15,30	155.97	155.72	2025-09-25 00:00:00	False	False	True	False	False
山西焦煤 (000983.SZ)	2025-09-25	5,10,15	7.17	7.17	2025-09-25 00:00:00	True	False	True	True	False
宁波银行 (002142.SZ)	2025-09-25	5,10,15	26.52	26.45	2025-09-25 00:00:00	False	False	True	False	False
洋河股份 (002304.SZ)	2025-09-25	5,10,15,30	68.76	68.56	2025-09-25 00:00:00	False	False	True	False	False
海大集团 (002311.SZ)	2025-09-25	5,10,30	62.31	62.53	2025-09-25 00:00:00	False	True	True	False	False
天孚通信 (300394.SZ)	2025-09-25	5,10,15	180.17	184.94	2025-09-25 00:00:00	True	False	True	True	True
温氏股份 (300498.SZ)	2025-09-25	10,15,30	18.73	18.73	2025-09-25 00:00:00	True	False	True	True	False
卓胜微 (300782.SZ)	2025-09-25	5,10,15	82.19	82.41	2025-09-25 00:00:00	True	True	True	True	True
圆通速递 (600233.SS)	2025-09-25	5,10,15	18.68	18.68	2025-09-25 00:00:00	True	False	True	True	True
恒力石化 (600346.SS)	2025-09-25	5,10,15,30	16.21	16.2	2025-09-25 00:00:00	False	False	True	False	False
贵州茅台 (600519.SS)	2025-09-25	5,10,15	1437.9	1437.3	2025-09-25 00:00:00	False	False	True	False	False
伊利股份 (600887.SS)	2025-09-25	5,10,15	27.15	27.03	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-25	5,10,15	20.24	20.25	2025-09-25 00:00:00	False	False	False	False	False
中国铁建 (601186.SS)	2025-09-25	5,10,15	7.82	7.79	2025-09-25 00:00:00	False	False	False	False	False
农业银行 (601288.SS)	2025-09-25	5,10,15,30	6.48	6.48	2025-09-25 00:00:00	False	False	True	False	False
中国人保 (601319.SS)	2025-09-25	5,10,15	7.73	7.7	2025-09-25 00:00:00	False	False	False	False	False
中国电信 (601728.SS)	2025-09-25	5,10,15	6.68	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-25	5,10,15,30	7.42	7.4	2025-09-25 00:00:00	False	False	True	False	False
中远海控 (601919.SS)	2025-09-25	5,10,15	14.37	14.36	2025-09-25 00:00:00	False	False	False	False	False
中国银行 (601988.SS)	2025-09-25	5,10,15	5.22	5.22	2025-09-25 00:00:00	False	False	False	False	False
潍柴动力 (000338.SZ)	2025-09-24	5,15,30	14.04	13.88	2025-09-25 00:00:00	False	True	False	False	False
云南白药 (000538.SZ)	2025-09-24	5,10,15	57.27	57.26	2025-09-25 00:00:00	False	True	True	False	False
泸州老窖 (000568.SZ)	2025-09-24	5,10,15	131.61	130.22	2025-09-25 00:00:00	False	False	True	False	False
古井贡酒 (000596.SZ)	2025-09-24	5,10,15,30	156.7	155.72	2025-09-25 00:00:00	False	False	True	False	False
山西焦煤 (000983.SZ)	2025-09-24	5,10,15	7.17	7.17	2025-09-25 00:00:00	True	True	True	True	False
国轩高科 (002074.SZ)	2025-09-24	5,10,15	43.79	45.91	2025-09-25 00:00:00	True	True	True	True	True
宁波银行 (002142.SZ)	2025-09-24	5,10,15,30	26.52	26.45	2025-09-25 00:00:00	False	False	True	False	False
洋河股份 (002304.SZ)	2025-09-24	5,10,15,30	69.12	68.56	2025-09-25 00:00:00	False	False	True	False	False
海大集团 (002311.SZ)	2025-09-24	5,10,15,30	62.26	62.53	2025-09-25 00:00:00	False	False	True	False	False
天齐锂业 (002466.SZ)	2025-09-24	5,10,15	42.43	44.89	2025-09-25 00:00:00	False	True	True	False	True
荣盛石化 (002493.SZ)	2025-09-24	5,15,30	9.24	9.37	2025-09-25 00:00:00	False	False	True	False	False
卫星化学 (002648.SZ)	2025-09-24	5,10,15,30	18.47	18.9	2025-09-25 00:00:00	False	True	True	False	False
天孚通信 (300394.SZ)	2025-09-24	5,10,15	181.1	184.94	2025-09-25 00:00:00	True	False	True	True	True
温氏股份 (300498.SZ)	2025-09-24	10,15,30	18.99	18.73	2025-09-25 00:00:00	True	True	True	True	False
浦发银行 (600000.SS)	2025-09-24	5,10,15,30	12.37	12.41	2025-09-25 00:00:00	False	False	True	False	False
圆通速递 (600233.SS)	2025-09-24	5,10,15	18.88	18.68	2025-09-25 00:00:00	True	False	True	True	True
恒力石化 (600346.SS)	2025-09-24	5,10,15,30	16.24	16.2	2025-09-25 00:00:00	False	False	True	False	False
江西铜业 (600362.SS)	2025-09-24	5,10,15	28.2	30.44	2025-09-25 00:00:00	False	True	True	True	True
贵州茅台 (600519.SS)	2025-09-24	5,10,15,30	1442.36	1437.3	2025-09-25 00:00:00	False	False	True	False	False
国电电力 (600795.SS)	2025-09-24	5,10,15	5.04	4.99	2025-09-25 00:00:00	True	False	True	False	False
中国海油 (600938.SS)	2025-09-24	5,10,15,30	26.52	26.62	2025-09-25 00:00:00	True	True	True	True	True
中国国航 (601111.SS)	2025-09-24	5,10,15,30	7.67	7.71	2025-09-25 00:00:00	True	False	True	True	False
中国铁建 (601186.SS)	2025-09-24	5,10,15	7.87	7.79	2025-09-25 00:00:00	False	False	False	False	False
广汽集团 (601238.SS)	2025-09-24	5,10,15	7.54	7.6	2025-09-25 00:00:00	False	False	False	False	False
中国铝业 (601600.SS)	2025-09-24	5,10,15,30	7.51	7.62	2025-09-25 00:00:00	False	True	True	False	False
华泰证券 (601688.SS)	2025-09-24	5,10,15,30	19.47	19.81	2025-09-25 00:00:00	False	True	True	False	False
中国电信 (601728.SS)	2025-09-24	5,10,15	6.69	6.68	2025-09-25 00:00:00	False	True	False	False	False
中国石油 (601857.SS)	2025-09-24	5,10,15	8.12	8.13	2025-09-25 00:00:00	False	False	True	False	False
方正证券 (601901.SS)	2025-09-24	5,10,15	7.99	8.02	2025-09-25 00:00:00	False	True	True	False	False
海天味业 (603288.SS)	2025-09-24	5,10,15	38.81	38.66	2025-09-25 00:00:00	False	False	False	False	False
平安银行 (000001.SZ)	2025-09-23	5,10,15,30	11.39	11.4	2025-09-25 00:00:00	False	True	False	False	False
申万宏源 (000166.SZ)	2025-09-23	5,15,30	5.12	5.19	2025-09-25 00:00:00	False	False	True	False	False
美的集团 (000333.SZ)	2025-09-23	5,10,15,30	72.81	72.76	2025-09-25 00:00:00	False	True	True	False	False
藏格矿业 (000408.SZ)	2025-09-23	5,15,30	53.41	55.38	2025-09-25 00:00:00	False	False	True	False	False
云南白药 (000538.SZ)	2025-09-23	5,10,15,30	57.49	57.26	2025-09-25 00:00:00	False	False	True	False	False
古井贡酒 (000596.SZ)	2025-09-23	10,15,30	157.0	155.72	2025-09-25 00:00:00	False	False	True	False	False
长安汽车 (000625.SZ)	2025-09-23	5,10,15	12.18	12.1	2025-09-25 00:00:00	False	False	False	False	False
格力电器 (000651.SZ)	2025-09-23	5,10,15,30	39.51	39.59	2025-09-25 00:00:00	False	False	False	False	False
中航西飞 (000768.SZ)	2025-09-23	5,15,30	24.46	24.79	2025-09-25 00:00:00	False	False	False	False	False
北新建材 (000786.SZ)	2025-09-23	5,10,15,30	23.84	24.2	2025-09-25 00:00:00	False	False	False	False	False
盐湖股份 (000792.SZ)	2025-09-23	5,15,30	19.07	19.71	2025-09-25 00:00:00	False	False	True	False	False
一汽解放 (000800.SZ)	2025-09-23	5,10,15	6.98	6.96	2025-09-25 00:00:00	False	False	False	False	False
五 粮 液 (000858.SZ)	2025-09-23	5,10,15,30	121.77	121.89	2025-09-25 00:00:00	False	False	True	False	False
新 希 望 (000876.SZ)	2025-09-23	5,10,15,30	9.81	9.77	2025-09-25 00:00:00	False	False	True	False	False
双汇发展 (000895.SZ)	2025-09-23	5,10,15	24.84	24.72	2025-09-25 00:00:00	False	True	True	False	False
山西焦煤 (000983.SZ)	2025-09-23	5,10,15	7.18	7.17	2025-09-25 00:00:00	True	False	True	True	False
新 和 成 (002001.SZ)	2025-09-23	5,10,30	23.28	23.67	2025-09-25 00:00:00	False	False	True	False	False
华兰生物 (002007.SZ)	2025-09-23	5,10,15,30	16.07	16.06	2025-09-25 00:00:00	False	False	True	False	False
国轩高科 (002074.SZ)	2025-09-23	5,10,15,30	43.97	45.91	2025-09-25 00:00:00	True	False	True	True	True
TCL中环 (002129.SZ)	2025-09-23	5,10,15	7.73	9.41	2025-09-25 00:00:00	False	False	True	True	True
洋河股份 (002304.SZ)	2025-09-23	5,10,15,30	69.2	68.56	2025-09-25 00:00:00	False	False	True	False	False
海大集团 (002311.SZ)	2025-09-23	5,10,15,30	62.84	62.53	2025-09-25 00:00:00	False	True	True	False	False
顺丰控股 (002352.SZ)	2025-09-23	5,10,30	39.8	40.04	2025-09-25 00:00:00	False	False	False	False	False
海康威视 (002415.SZ)	2025-09-23	5,10,15	30.03	31.2	2025-09-25 00:00:00	False	False	True	True	True
晶澳科技 (002459.SZ)	2025-09-23	5,10,15,30	12.04	12.96	2025-09-25 00:00:00	False	False	True	False	False
天齐锂业 (002466.SZ)	2025-09-23	5,10,15,30	42.65	44.89	2025-09-25 00:00:00	False	False	True	False	True
卫星化学 (002648.SZ)	2025-09-23	5,10,15,30	18.44	18.9	2025-09-25 00:00:00	False	False	True	False	False
牧原股份 (002714.SZ)	2025-09-23	5,10,15	53.02	52.88	2025-09-25 00:00:00	False	False	True	False	False
国信证券 (002736.SZ)	2025-09-23	5,15,30	13.25	13.3	2025-09-25 00:00:00	False	True	True	False	False
爱尔眼科 (300015.SZ)	2025-09-23	5,10,15	12.19	12.44	2025-09-25 00:00:00	False	False	False	False	False
同花顺 (300033.SZ)	2025-09-23	5,10,15	353.81	371.0	2025-09-25 00:00:00	False	False	True	False	False
东方财富 (300059.SZ)	2025-09-23	5,10,15	25.88	26.65	2025-09-25 00:00:00	False	False	True	False	False
汇川技术 (300124.SZ)	2025-09-23	5,10,15	81.84	86.22	2025-09-25 00:00:00	True	True	True	True	True
昆仑万维 (300418.SZ)	2025-09-23	5,10,15	43.12	49.25	2025-09-25 00:00:00	True	True	True	True	True
润泽科技 (300442.SZ)	2025-09-23	5,10,15,30	51.97	56.36	2025-09-25 00:00:00	False	False	True	True	True
圣邦股份 (300661.SZ)	2025-09-23	5,10,15	78.96	82.61	2025-09-25 00:00:00	True	False	True	True	True
卓胜微 (300782.SZ)	2025-09-23	5,10,15	77.7	82.41	2025-09-25 00:00:00	False	True	True	True	True
爱美客 (300896.SZ)	2025-09-23	5,10,15	178.71	180.61	2025-09-25 00:00:00	False	False	True	False	False
金龙鱼 (300999.SZ)	2025-09-23	5,10,15,30	31.3	31.6	2025-09-25 00:00:00	False	False	True	False	False
浦发银行 (600000.SS)	2025-09-23	5,10,15,30	12.5	12.41	2025-09-25 00:00:00	False	False	True	False	False
华能国际 (600011.SS)	2025-09-23	5,10,15	7.21	7.12	2025-09-25 00:00:00	False	False	True	False	False
华夏银行 (600015.SS)	2025-09-23	5,10,15	6.77	6.72	2025-09-25 00:00:00	False	True	False	False	False
上港集团 (600018.SS)	2025-09-23	5,10,15	5.53	5.5	2025-09-25 00:00:00	False	True	False	False	False
浙能电力 (600023.SS)	2025-09-23	5,10,15,30	4.93	4.93	2025-09-25 00:00:00	False	False	False	False	False
中远海能 (600026.SS)	2025-09-23	5,10,15	11.99	12.06	2025-09-25 00:00:00	True	False	True	True	True
华电国际 (600027.SS)	2025-09-23	5,10,15	5.07	5.06	2025-09-25 00:00:00	False	False	False	False	False
中国石化 (600028.SS)	2025-09-23	5,10,15	5.32	5.35	2025-09-25 00:00:00	False	True	False	False	False
南方航空 (600029.SS)	2025-09-23	5,10,15,30	5.91	5.94	2025-09-25 00:00:00	False	True	True	False	False
国投资本 (600061.SS)	2025-09-23	5,10,15	7.46	7.65	2025-09-25 00:00:00	False	False	True	False	False
中国东航 (600115.SS)	2025-09-23	5,10,15,30	4.01	4.06	2025-09-25 00:00:00	False	False	True	False	False
万华化学 (600309.SS)	2025-09-23	5,10,15,30	62.85	64.68	2025-09-25 00:00:00	False	False	True	False	False
白云山 (600332.SS)	2025-09-23	5,10,15,30	25.24	25.34	2025-09-25 00:00:00	False	False	False	False	False
江西铜业 (600362.SS)	2025-09-23	5,10,15	28.22	30.44	2025-09-25 00:00:00	True	False	True	True	True
中航机载 (600372.SS)	2025-09-23	5,10,15,30	11.9	12.02	2025-09-25 00:00:00	False	True	True	False	False
小商品城 (600415.SS)	2025-09-23	5,15,30	18.21	18.47	2025-09-25 00:00:00	False	False	True	False	False
华鲁恒升 (600426.SS)	2025-09-23	5,10,15,30	24.81	25.19	2025-09-25 00:00:00	False	False	True	False	False
片仔癀 (600436.SS)	2025-09-23	5,10,15	197.3	196.5	2025-09-25 00:00:00	False	False	False	False	False
通威股份 (600438.SS)	2025-09-23	5,15,30	20.43	22.04	2025-09-25 00:00:00	False	False	True	False	False
中国动力 (600482.SS)	2025-09-23	5,10,15,30	21.37	21.51	2025-09-25 00:00:00	False	False	False	False	False
贵州茅台 (600519.SS)	2025-09-23	5,10,15,30	1454.93	1437.3	2025-09-25 00:00:00	False	False	True	False	False
海螺水泥 (600585.SS)	2025-09-23	5,10,15,30	22.96	23.2	2025-09-25 00:00:00	False	True	True	False	False
福耀玻璃 (600660.SS)	2025-09-23	5,10,15,30	71.44	72.43	2025-09-25 00:00:00	True	False	True	True	True
川投能源 (600674.SS)	2025-09-23	5,10,15,30	14.19	14.19	2025-09-25 00:00:00	False	True	False	False	False
国电电力 (600795.SS)	2025-09-23	5,10,15	5.03	4.99	2025-09-25 00:00:00	True	True	True	False	False
山西汾酒 (600809.SS)	2025-09-23	5,10,15,30	192.83	193.32	2025-09-25 00:00:00	False	False	True	False	False
东方电气 (600875.SS)	2025-09-23	5,10,15,30	18.52	18.82	2025-09-25 00:00:00	False	False	True	False	False
伊利股份 (600887.SS)	2025-09-23	5,10,15,30	27.27	27.03	2025-09-25 00:00:00	False	False	False	False	False
三峡能源 (600905.SS)	2025-09-23	5,10,15,30	4.24	4.23	2025-09-25 00:00:00	False	False	True	False	False
中泰证券 (600918.SS)	2025-09-23	5,10,15,30	6.74	6.85	2025-09-25 00:00:00	False	False	True	False	False
中国海油 (600938.SS)	2025-09-23	5,10,15	26.1	26.62	2025-09-25 00:00:00	True	False	True	True	True
中国移动 (600941.SS)	2025-09-23	5,10,15	105.3	105.87	2025-09-25 00:00:00	False	True	False	False	False
东方证券 (600958.SS)	2025-09-23	5,15,30	10.5	10.68	2025-09-25 00:00:00	False	True	True	False	False
招商证券 (600999.SS)	2025-09-23	5,10,15,30	16.88	17.02	2025-09-25 00:00:00	False	False	True	False	False
隆基绿能 (601012.SS)	2025-09-23	5,10,30	16.2	17.69	2025-09-25 00:00:00	False	False	True	True	True
赛轮轮胎 (601058.SS)	2025-09-23	5,10,30	14.45	14.42	2025-09-25 00:00:00	False	True	True	False	False
信达证券 (601059.SS)	2025-09-23	5,10,15,30	18.62	18.66	2025-09-25 00:00:00	False	False	True	False	False
恒立液压 (601100.SS)	2025-09-23	5,10,15	91.31	93.97	2025-09-25 00:00:00	True	False	True	True	True
中国国航 (601111.SS)	2025-09-23	5,15,30	7.79	7.71	2025-09-25 00:00:00	True	False	True	True	False
中国化学 (601117.SS)	2025-09-23	5,10,15,30	7.35	7.36	2025-09-25 00:00:00	False	False	False	False	False
兴业银行 (601166.SS)	2025-09-23	5,10,15	20.36	20.25	2025-09-25 00:00:00	False	True	False	False	False
中国铁建 (601186.SS)	2025-09-23	5,10,15	7.86	7.79	2025-09-25 00:00:00	False	True	False	False	False
国泰海通 (601211.SS)	2025-09-23	10,15,30	18.56	18.89	2025-09-25 00:00:00	False	False	True	False	False
上海银行 (601229.SS)	2025-09-23	5,10,15	8.98	8.94	2025-09-25 00:00:00	False	True	False	False	False
红塔证券 (601236.SS)	2025-09-23	5,10,15	8.58	8.7	2025-09-25 00:00:00	False	False	True	False	False
广汽集团 (601238.SS)	2025-09-23	5,10,15	7.56	7.6	2025-09-25 00:00:00	False	False	False	False	False
中国平安 (601318.SS)	2025-09-23	5,10,15	55.61	55.14	2025-09-25 00:00:00	False	False	True	False	False
兴业证券 (601377.SS)	2025-09-23	5,10,15,30	6.26	6.37	2025-09-25 00:00:00	False	False	True	False	False
中国中铁 (601390.SS)	2025-09-23	5,10,15	5.49	5.47	2025-09-25 00:00:00	False	True	False	False	False
中国铝业 (601600.SS)	2025-09-23	10,15,30	7.57	7.62	2025-09-25 00:00:00	False	False	True	False	False
上海医药 (601607.SS)	2025-09-23	5,10,15	17.7	17.83	2025-09-25 00:00:00	False	False	False	False	False
中国中冶 (601618.SS)	2025-09-23	5,10,15	3.29	3.45	2025-09-25 00:00:00	False	False	True	False	False
邮储银行 (601658.SS)	2025-09-23	5,10,15	6.03	5.91	2025-09-25 00:00:00	False	True	True	False	False
中国建筑 (601668.SS)	2025-09-23	5,10,15	5.51	5.48	2025-09-25 00:00:00	False	True	False	False	False
中国电建 (601669.SS)	2025-09-23	5,10,30	5.6	5.53	2025-09-25 00:00:00	False	False	True	False	False
华泰证券 (601688.SS)	2025-09-23	5,10,15,30	19.54	19.81	2025-09-25 00:00:00	False	False	True	False	False
中国卫通 (601698.SS)	2025-09-23	5,15,30	20.31	20.89	2025-09-25 00:00:00	False	False	True	False	False
中国电信 (601728.SS)	2025-09-23	5,10,15	6.68	6.68	2025-09-25 00:00:00	False	False	False	False	False
中国中车 (601766.SS)	2025-09-23	5,10,15,30	7.43	7.4	2025-09-25 00:00:00	False	False	True	False	False
光大证券 (601788.SS)	2025-09-23	5,10,15,30	18.19	18.68	2025-09-25 00:00:00	False	False	True	False	False
星宇股份 (601799.SS)	2025-09-23	5,10,15	119.7	123.13	2025-09-25 00:00:00	False	False	False	False	True
中海油服 (601808.SS)	2025-09-23	5,10,15,30	13.47	13.53	2025-09-25 00:00:00	False	False	False	False	False
中国银河 (601881.SS)	2025-09-23	5,10,15,30	16.77	17.08	2025-09-25 00:00:00	False	False	True	False	False
方正证券 (601901.SS)	2025-09-23	5,10,15	7.96	8.02	2025-09-25 00:00:00	False	False	True	False	False
建设银行 (601939.SS)	2025-09-23	5,10,15,30	8.69	8.65	2025-09-25 00:00:00	False	True	False	False	False
中金公司 (601995.SS)	2025-09-23	5,10,15,30	35.53	35.79	2025-09-25 00:00:00	False	False	True	False	False
DR公牛集 (603195.SS)	2025-09-23	5,10,15	44.42	44.4	2025-09-25 00:00:00	False	True	False	False	False
福斯特 (603806.SS)	2025-09-23	5,10,15	15.1	15.53	2025-09-25 00:00:00	False	False	True	False	False
欧派家居 (603833.SS)	2025-09-23	5,10,15	54.27	53.92	2025-09-25 00:00:00	False	False	False	False	False
洛阳钼业 (603993.SS)	2025-09-23	10,15,30	12.47	13.83	2025-09-25 00:00:00	False	False	True	True	True
中国通号 (688009.SS)	2025-09-23	5,10,15,30	5.22	5.3	2025-09-25 00:00:00	False	False	True	False	False
寒武纪 (688256.SS)	2025-09-23	5,10,15,30	1351.49	1391.22	2025-09-25 00:00:00	True	False	True	True	False
联影医疗 (688271.SS)	2025-09-23	5,10,15	142.47	147.8	2025-09-25 00:00:00	False	False	True	False	False
平安银行 (000001.SZ)	2025-09-22	5,10,15,30	11.42	11.4	2025-09-25 00:00:00	False	False	False	False	False
东方盛虹 (000301.SZ)	2025-09-22	5,10,15,30	9.49	9.17	2025-09-25 00:00:00	False	False	True	False	False
美的集团 (000333.SZ)	2025-09-22	5,15,30	73.3	72.76	2025-09-25 00:00:00	False	False	True	False	False
藏格矿业 (000408.SZ)	2025-09-22	5,10,15,30	54.02	55.38	2025-09-25 00:00:00	True	False	True	False	False
云南白药 (000538.SZ)	2025-09-22	5,10,15,30	57.94	57.26	2025-09-25 00:00:00	False	False	True	False	False
长安汽车 (000625.SZ)	2025-09-22	5,10,15	12.18	12.1	2025-09-25 00:00:00	False	False	False	False	False
铜陵有色 (000630.SZ)	2025-09-22	5,10,15,30	4.36	4.69	2025-09-25 00:00:00	False	False	True	True	True
格力电器 (000651.SZ)	2025-09-22	5,10,15,30	39.82	39.59	2025-09-25 00:00:00	False	False	False	False	False
中航西飞 (000768.SZ)	2025-09-22	5,15,30	24.71	24.79	2025-09-25 00:00:00	False	False	False	False	False
北新建材 (000786.SZ)	2025-09-22	5,10,15,30	24.31	24.2	2025-09-25 00:00:00	False	False	False	False	False
盐湖股份 (000792.SZ)	2025-09-22	5,15,30	19.49	19.71	2025-09-25 00:00:00	False	False	True	False	False
云铝股份 (000807.SZ)	2025-09-22	5,10,15	19.56	19.22	2025-09-25 00:00:00	True	False	True	False	False
五 粮 液 (000858.SZ)	2025-09-22	5,10,15,30	122.49	121.89	2025-09-25 00:00:00	False	False	True	False	False
新 希 望 (000876.SZ)	2025-09-22	5,10,15,30	9.85	9.77	2025-09-25 00:00:00	False	False	True	False	False
双汇发展 (000895.SZ)	2025-09-22	5,10,15	24.74	24.72	2025-09-25 00:00:00	False	False	True	False	False
华润三九 (000999.SZ)	2025-09-22	5,10,15,30	28.53	28.0	2025-09-25 00:00:00	False	False	False	False	False
龙源电力 (001289.SZ)	2025-09-22	5,10,15,30	16.67	16.79	2025-09-25 00:00:00	False	False	True	False	False
招商公路 (001965.SZ)	2025-09-22	5,10,15,30	9.65	9.73	2025-09-25 00:00:00	False	False	False	False	False
新 和 成 (002001.SZ)	2025-09-22	5,10,30	23.66	23.67	2025-09-25 00:00:00	False	False	True	False	False
华兰生物 (002007.SZ)	2025-09-22	5,10,15,30	16.07	16.06	2025-09-25 00:00:00	False	False	True	False	False
国轩高科 (002074.SZ)	2025-09-22	5,10,15,30	44.03	45.91	2025-09-25 00:00:00	True	True	True	True	True
宁波银行 (002142.SZ)	2025-09-22	5,10,15,30	26.35	26.45	2025-09-25 00:00:00	False	False	True	False	False
上海莱士 (002252.SZ)	2025-09-22	5,10,15	6.73	6.69	2025-09-25 00:00:00	False	False	False	False	False
东方雨虹 (002271.SZ)	2025-09-22	5,10,15	12.33	12.31	2025-09-25 00:00:00	True	False	True	True	False
洋河股份 (002304.SZ)	2025-09-22	5,10,15	69.72	68.56	2025-09-25 00:00:00	False	False	True	False	False
海大集团 (002311.SZ)	2025-09-22	5,10,15,30	62.63	62.53	2025-09-25 00:00:00	True	False	True	False	False
顺丰控股 (002352.SZ)	2025-09-22	5,10,15,30	40.3	40.04	2025-09-25 00:00:00	False	False	False	False	False
海康威视 (002415.SZ)	2025-09-22	5,10,15	30.41	31.2	2025-09-25 00:00:00	True	False	True	True	True
科伦药业 (002422.SZ)	2025-09-22	5,10,15,30	38.16	37.43	2025-09-25 00:00:00	False	False	True	False	True
晶澳科技 (002459.SZ)	2025-09-22	5,10,30	12.3	12.96	2025-09-25 00:00:00	False	False	True	False	False
卫星化学 (002648.SZ)	2025-09-22	10,15,30	18.96	18.9	2025-09-25 00:00:00	False	False	True	False	False
德赛西威 (002920.SZ)	2025-09-22	5,10,15	133.28	148.25	2025-09-25 00:00:00	True	False	True	True	True
爱尔眼科 (300015.SZ)	2025-09-22	5,10,15	12.33	12.44	2025-09-25 00:00:00	False	False	False	False	False
汇川技术 (300124.SZ)	2025-09-22	5,10,15	81.21	86.22	2025-09-25 00:00:00	True	False	True	True	True
温氏股份 (300498.SZ)	2025-09-22	5,10,15	18.8	18.73	2025-09-25 00:00:00	True	False	True	True	False
圣邦股份 (300661.SZ)	2025-09-22	5,10,15	81.94	82.61	2025-09-25 00:00:00	True	False	True	True	True
迈瑞医疗 (300760.SZ)	2025-09-22	5,10,15	236.15	241.6	2025-09-25 00:00:00	False	False	True	False	False
新产业 (300832.SZ)	2025-09-22	5,10,15	67.37	67.81	2025-09-25 00:00:00	True	False	True	True	False
爱美客 (300896.SZ)	2025-09-22	5,10,15	182.5	180.61	2025-09-25 00:00:00	False	False	True	False	False
金龙鱼 (300999.SZ)	2025-09-22	5,10,15,30	31.81	31.6	2025-09-25 00:00:00	False	False	True	False	False
浦发银行 (600000.SS)	2025-09-22	5,10,15	12.54	12.41	2025-09-25 00:00:00	False	False	True	False	False
华夏银行 (600015.SS)	2025-09-22	5,10,15	6.78	6.72	2025-09-25 00:00:00	False	False	False	False	False
民生银行 (600016.SS)	2025-09-22	5,10,15	4.04	4.05	2025-09-25 00:00:00	False	False	False	False	False
华电国际 (600027.SS)	2025-09-22	5,10,15	5.12	5.06	2025-09-25 00:00:00	False	False	False	False	False
中国石化 (600028.SS)	2025-09-22	5,10,15	5.32	5.35	2025-09-25 00:00:00	False	False	False	False	False
四川路桥 (600039.SS)	2025-09-22	5,10,15,30	8.47	8.39	2025-09-25 00:00:00	False	False	True	False	False
中国联通 (600050.SS)	2025-09-22	10,15,30	5.45	5.43	2025-09-25 00:00:00	False	False	True	False	False
同仁堂 (600085.SS)	2025-09-22	5,10,15	34.43	34.15	2025-09-25 00:00:00	False	False	False	False	False
北方稀土 (600111.SS)	2025-09-22	5,10,15,30	47.33	47.46	2025-09-25 00:00:00	False	False	True	False	False
中国船舶 (600150.SS)	2025-09-22	5,10,15	34.9	34.87	2025-09-25 00:00:00	False	True	True	False	False
天坛生物 (600161.SS)	2025-09-22	5,10,15,30	19.3	18.99	2025-09-25 00:00:00	False	False	False	False	False
复星医药 (600196.SS)	2025-09-22	5,10,15	30.73	30.32	2025-09-25 00:00:00	True	False	True	False	False
恒力石化 (600346.SS)	2025-09-22	5,15,30	16.69	16.2	2025-09-25 00:00:00	False	False	True	False	False
江西铜业 (600362.SS)	2025-09-22	5,10,15	28.41	30.44	2025-09-25 00:00:00	True	False	True	True	True
中航机载 (600372.SS)	2025-09-22	5,10,15,30	11.89	12.02	2025-09-25 00:00:00	False	False	True	False	False
小商品城 (600415.SS)	2025-09-22	5,10,15,30	19.49	18.47	2025-09-25 00:00:00	False	False	True	False	False
片仔癀 (600436.SS)	2025-09-22	5,10,15	197.44	196.5	2025-09-25 00:00:00	False	False	False	False	False
通威股份 (600438.SS)	2025-09-22	5,15,30	21.28	22.04	2025-09-25 00:00:00	False	False	True	False	False
士兰微 (600460.SS)	2025-09-22	5,10,15	30.36	31.75	2025-09-25 00:00:00	True	True	True	True	True
中国动力 (600482.SS)	2025-09-22	5,10,15	21.42	21.51	2025-09-25 00:00:00	False	False	False	False	False
贵州茅台 (600519.SS)	2025-09-22	5,10,15,30	1454.18	1437.3	2025-09-25 00:00:00	False	False	True	False	False
海螺水泥 (600585.SS)	2025-09-22	5,10,15,30	22.98	23.2	2025-09-25 00:00:00	False	False	True	False	False
福耀玻璃 (600660.SS)	2025-09-22	5,10,15	71.77	72.43	2025-09-25 00:00:00	True	False	True	True	True
川投能源 (600674.SS)	2025-09-22	5,10,15,30	14.15	14.19	2025-09-25 00:00:00	False	False	False	False	False
山西汾酒 (600809.SS)	2025-09-22	5,10,15,30	196.16	193.32	2025-09-25 00:00:00	False	False	True	False	False
国投电力 (600886.SS)	2025-09-22	5,10,15,30	13.02	13.05	2025-09-25 00:00:00	False	False	False	False	False
伊利股份 (600887.SS)	2025-09-22	5,10,15,30	27.52	27.03	2025-09-25 00:00:00	False	False	False	False	False
航发动力 (600893.SS)	2025-09-22	5,10,15	37.41	37.83	2025-09-25 00:00:00	False	False	True	False	True
长江电力 (600900.SS)	2025-09-22	5,10,30	27.11	27.21	2025-09-25 00:00:00	False	False	False	False	False
三峡能源 (600905.SS)	2025-09-22	5,10,15	4.26	4.23	2025-09-25 00:00:00	False	False	True	False	False
江苏银行 (600919.SS)	2025-09-22	5,10,15,30	10.17	10.04	2025-09-25 00:00:00	False	False	False	False	False
